[2026-03-04 07:50:26] [FILE_UPLOAD_SUCCESS] IP: 2402:8780:1061:1511:78c5:3e67:e75b:1a7e | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 3e82a593f8b533654fe8dca8e4bb9239_1772585426.pdf
[2026-03-04 07:50:26] [FILE_UPLOAD_SUCCESS] IP: 2402:8780:1061:1511:78c5:3e67:e75b:1a7e | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: f2aa7f133e6d98cc7f7847db0d87696e_1772585426.pdf
[2026-03-04 08:23:39] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1560::2e:96b2 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 9e93d14cdc6be9e82d89fcc112605de6_1772587419.jpeg
[2026-03-04 08:23:39] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1560::2e:96b2 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 7691b2bb870c66a02c30420e06a1ce20_1772587419.pdf
[2026-03-04 08:23:39] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1560::2e:96b2 | Event: FILE_UPLOAD_SUCCESS | Details: file_surat_prestasi: e72a9d9200d91a715f239034a0f3ff32_1772587419.pdf
[2026-03-04 08:23:39] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1560::2e:96b2 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_prestasi: c5f746842184c5eaab8fb2fda41884c7_1772587419.pdf
[2026-03-04 08:23:39] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1560::2e:96b2 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: f79fe3f97b853e6107dbec57d9d0e8e5_1772587419.pdf
[2026-03-04 08:23:39] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1560::2e:96b2 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 4ce84310b373503ad5508abb214ce98d_1772587419.pdf
[2026-03-04 08:24:23] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:1175:9c38:9bef:2082:27fa | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 2e7bb318ad9ae996ec51cf44d97d7152_1772587463.jpg
[2026-03-04 08:24:23] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:1175:9c38:9bef:2082:27fa | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: ee9048c3a167efff0bdf42ac5e298875_1772587463.pdf
[2026-03-04 08:24:23] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:1175:9c38:9bef:2082:27fa | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: f007260f57a0ecb4615c9cfbe07a2ab1_1772587463.pdf
